%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692649628648247241,718,1692649628648247241,,1064.0
1692649628649777412,719,1692649628649777412,,-289.0
1692649628694272994,720,1692649628694272994,,4298.0
1692649628697844982,721,1692649628697844982,,1064.0
1692649628699854135,722,1692649628699854135,,4299.0
1692649628720312833,723,1692649628720312833,,-287.0
1692649628765995979,724,1692649628765995979,,4298.0
1692649628768430709,725,1692649628768430709,,1063.0
1692649628770329236,726,1692649628770329236,,4298.0
1692649628789760351,727,1692649628789760351,,-290.0
1692649628838085651,728,1692649628838085651,,4298.0
1692649628841350078,729,1692649628841350078,,1604.0
1692649628861320257,730,1692649628861320257,,-283.0
1692649628901979446,731,1692649628901979446,,4298.0
1692649628904314279,732,1692649628904314279,,1064.0
1692649628906993150,733,1692649628906993150,,-290.0
1692649628953896522,734,1692649628953896522,,4298.0
1692649628956547498,735,1692649628956547498,,1063.0
1692649628959583520,736,1692649628959583520,,4298.0
1692649628978783130,737,1692649628978783130,,-293.0
1692649629022049188,738,1692649629022049188,,4298.0
1692649629025098800,739,1692649629025098800,,1063.0
1692649629028204917,740,1692649629028204917,,-293.0
1692649629048741579,741,1692649629048741579,,4298.0
1692649629050849676,742,1692649629050849676,,1064.0
1692649629072041511,743,1692649629072041511,,-291.0
1692649629114091634,744,1692649629114091634,,4298.0
1692649629116305112,745,1692649629116305112,,1063.0
1692649629118331670,746,1692649629118331670,,-287.0
1692649629162384033,747,1692649629162384033,,4297.0
1692649629165044069,748,1692649629165044069,,1064.0
1692649629167370796,749,1692649629167370796,,-288.0
1692649629210571527,750,1692649629210571527,,4298.0
1692649629214422941,751,1692649629214422941,,1063.0
1692649629217463493,752,1692649629217463493,,4299.0
1692649629236999273,753,1692649629236999273,,-285.0
1692649629278114080,754,1692649629278114080,,4298.0
1692649629280885696,755,1692649629280885696,,1063.0
1692649629283415317,756,1692649629283415317,,-285.0
1692649629326412439,757,1692649629326412439,,4298.0
1692649629329328536,758,1692649629329328536,,1063.0
1692649629332094907,759,1692649629332094907,,-292.0
1692649629374000549,760,1692649629374000549,,4298.0
1692649629376595735,761,1692649629376595735,,1063.0
1692649629378912448,762,1692649629378912448,,-284.0
1692649629422664880,763,1692649629422664880,,4298.0
1692649629425394535,764,1692649629425394535,,1063.0
1692649629428236961,765,1692649629428236961,,4298.0
1692649629448157787,766,1692649629448157787,,-293.0
1692649629490643501,767,1692649629490643501,,4298.0
1692649629493669033,768,1692649629493669033,,1063.0
1692649629497079133,769,1692649629497079133,,-294.0
1692649629537987947,770,1692649629537987947,,4298.0
1692649629541137218,771,1692649629541137218,,1063.0
1692649629546483516,772,1692649629546483516,,-291.0
1692649629586023330,773,1692649629586023330,,4298.0
1692649629588435649,774,1692649629588435649,,1063.0
1692649629591437339,775,1692649629591437339,,-292.0
1692649629613046169,776,1692649629613046169,,4299.0
1692649629615551948,777,1692649629615551948,,1063.0
1692649629636385440,778,1692649629636385440,,-291.0
1692649629681854486,779,1692649629681854486,,4299.0
1692649629684513330,780,1692649629684513330,,1063.0
1692649629686463117,781,1692649629686463117,,4299.0
1692649629706970214,782,1692649629706970214,,-288.0
1692649629749890565,783,1692649629749890565,,4299.0
