,Torque,Angle,Muscle 0,Muscle 1,Muscle 2,Muscle 3
191,-4.136,0.175,4491.911595836819,4271.357553339394,5008.217430296038,4936.581744665907
192,-4.124,0.175,4492.792531776332,4269.778301392502,5008.048705216541,4939.881267155422
193,-4.12,0.175,4493.71107603513,4268.202504505525,5007.874859973689,4941.314282859239
194,-4.26,0.175,4494.666635808108,4266.630497184492,5007.6962459791885,4940.722580502921
195,-4.252,0.175,4495.658585981437,4265.06261181173,5007.513204551977,4938.329292757733
196,-4.252000000000001,0.175,4496.686269479316,4263.499178171129,5007.326066319159,4934.670444172684
197,-4.104,0.175,4497.748997639609,4261.940522982701,5007.13515063329,4930.4595482561535
198,-4.1,0.175,4498.846050618005,4260.386969447047,5006.940765006898,4926.4125093038765
199,-3.952,0.175,4499.9766778203475,4258.83883680035,5006.743204565066,4923.06843159104
200,-3.9520000000000004,0.175,4501.140098362668,4257.296439880485,5006.542751516887,4920.643546506274
201,-3.9440000000000004,0.175,4502.335501558428,4255.760088704857,5006.339674646524,4918.949910075959
202,-4.088,0.175,4503.562047432361,4254.230088060541,5006.134228824576,4917.3987064817775
203,-4.088,0.175,4504.818867260239,4252.706737107323,5005.926654540393,4915.092012101877
204,-4.08,0.175,4506.10506413378,4251.190328994187,5005.7171774559565,4910.989643401125
205,-4.076,0.175,4507.419713549821,4249.681150489806,5005.506007981865,4904.122440992143
206,-4.076,0.175,4508.761864022785,4248.179481627529,5005.293340875972,4893.8129520394305
207,-4.0760000000000005,0.175,4510.1305377194,4246.6855953653485,5005.079354865134,4879.861052185895
208,-4.076,0.175,4511.524731114555,4245.199757261256,5004.864212290541,4862.656452087928
209,-4.0760000000000005,0.175,4512.943415667122,4243.722225164354,5004.6480587770475,4843.191702624033
210,-4.071999999999999,0.175,4514.3855385145625,4242.253248922035,5004.431022926894,4822.966342138148
211,-4.068,0.175,4515.850023185102,4240.793070103482,5004.2132160382125,4803.792284589572
212,-3.9240000000000004,0.175,4517.335770326302,4239.3419217397,5003.994731848644,4787.528973331695
213,-3.92,0.175,4518.841658448857,4237.9000280802165,5003.775646304394,4775.790855256377
214,-3.9199999999999995,0.175,4520.366544684515,4236.467604366572,5003.556017355021,4769.676695133113
215,-3.912,0.175,4521.909265557075,4235.044856622676,5003.3358847742165,4769.568672695207
216,-4.048,0.175,4523.468637765457,4233.6319814620665,5003.115270006812,4775.039091095404
217,-4.044,0.175,4525.043458977953,4232.229165912099,5002.894176042209,4784.885396836091
218,-4.04,0.175,4526.632508636789,4230.836587255054,5002.672587314389,4797.292871217681
219,-4.040000000000001,0.175,4528.234548772226,4229.454412886148,5002.450469628639,4810.102419095388
220,-4.04,0.175,4529.8483248254915,4228.082800188404,5002.227770115103,4821.142164674352
221,-3.892,0.175,4531.472566479865,4226.721896424312,5002.004417209199,4828.569408453697
222,-4.0280000000000005,0.175,4533.105988499335,4225.371838644197,5001.780320658955,4831.1661815683965
223,-4.0120000000000005,0.175,4534.747291574264,4224.032753611173,5001.5553715592605,4828.537947090255
224,-4.148,0.175,4536.39516317357,4222.704757742543,5001.329442413012,4821.180084713785
225,-4.128,0.175,4538.048278402959,4221.387957067478,5001.102387219098,4810.398264603648
226,-4.116,0.175,4539.705300868804,4220.08244720077,5000.874041587156,4798.093129432747
227,-4.1,0.175,4541.364883547315,4218.788313332435,5000.644222878985,4786.442765548774
228,-3.956,0.175,4543.025669658674,4217.505630232929,5000.4127303764935,4777.534298906921
229,-3.9440000000000004,0.175,4544.686293545873,4216.234462273707,5000.1793454760145,4773.0054644786
230,-3.928,0.175,4546.345381558005,4214.974863462836,4999.943831908799,4773.756406392375
231,-3.912,0.175,4548.001552937824,4213.726877495391,4999.705935987481,4779.781200410463
232,-3.8920000000000003,0.175,4549.6534207134,4212.490537818325,4999.465386878245,4790.14930943634
233,-3.8760000000000003,0.175,4551.299592593732,4211.265867709501,4999.221896898437,4803.14251415241
234,-4.0040000000000004,0.175,4552.938671868192,4210.052880370594,4998.9751618392975,4816.526887003705
235,-3.86,0.175,4554.569258309674,4208.851579033523,4998.7248613134825,4827.916453823117
236,-3.848,0.175,4556.189949081355,4207.6619570801195,4998.470659127004,4835.1692063690625
237,-3.976,0.175,4557.799339646922,4206.483998174674,4998.212203675198,4836.749858179543
238,-3.9640000000000004,0.175,4559.3960246841625,4205.317676409046,4997.949128362293,4831.998338962996
239,-3.8200000000000003,0.175,4560.978599001746,4204.16295645998,4997.681052044147,4821.257848806754
240,-3.8040000000000003,0.175,4562.545658459061,4203.019793758277,4997.407579493663,4805.8389733075655
241,-3.792,0.175,4564.0958008889065,4201.888134669466,4997.128301888405,4787.823191442163
242,-3.7720000000000002,0.175,4565.627627022861,4200.767916685606,4996.842797319881,4769.735665814441
243,-3.752,0.175,4567.139741419099,4199.659068627855,4996.550631323963,4754.139081855466
244,-3.7359999999999998,0.175,4568.630753392427,4198.561510859447,4996.251357431845,4743.213843471127
245,-3.712,0.175,4570.099277946294,4197.475155508699,4995.944517740954,4738.392848363526
246,-3.712,0.175,4571.543936706495,4196.399906701707,4995.6296435051845,4740.110819438159
247,-3.696,0.175,4572.9633588562865,4195.335660804363,4995.306255743773,4747.710067209681
248,-3.684,0.175,4574.356182072597,4194.282306673369,4994.9738658681545,4759.519540272519
249,-3.664,0.175,4575.721053462983,4193.239725915896,4994.631976326044,4773.096168766175
250,-3.656,0.175,4577.05663050295,4192.20779315758,4994.280081262026,4785.591368291888
251,-3.644,0.175,4578.3615819732095,4191.18637631853,4993.9176671938585,4794.185411496096
252,-3.516,0.175,4579.6345888964,4190.175336897038,4993.5442137037035,4796.521464188045
253,-3.6320000000000006,0.175,4580.874345472727,4189.174530260707,4993.159194143459,4791.071168646588
254,-3.6120000000000005,0.175,4582.079560013942,4188.183805944705,4992.762076353359,4777.374677825728
255,-3.592,0.175,4583.24895587498,4187.203007956865,4992.352323392982,4756.118152968928
256,-3.5720000000000005,0.175,4584.3812723825695,4186.231975089387,4991.929394283814,4729.037615836947
257,-3.552,0.175,4585.475265759986,4185.270541236873,4991.492744762476,4698.665464460681
258,-3.532,0.175,4586.529710047137,4184.318535720484,4991.041828043746,4667.960477716846
259,-3.512,0.175,4587.543398015075,4183.375783617985,4990.576095592482,4639.8798307351435
260,-3.5120000000000005,0.175,4588.515142073995,4182.442106099491,4990.094997903559,4616.959761163125
261,-3.492,0.175,4589.44377517377,4181.5173207687185,4989.597985288937,4600.968904222661
262,-3.472,0.175,4590.32815169601,4180.601242009564,4989.084508670963,4592.6855571184105
263,-3.452,0.175,4591.167148336652,4179.693681337849,4988.554020381027,4591.8294860718315
264,-3.452,0.175,4591.959664978065,4178.794447758069,4988.0059749626735,4597.153842797606
265,-3.432,0.175,4592.7046255496625,4177.903348124987,4987.439829978294,4606.677452617294
266,-3.4160000000000004,0.175,4593.4009788760095,4177.020187509919,4986.855046818508,4618.016271901015
267,-3.4040000000000004,0.175,4594.047699511443,4176.144769571533,4986.251091513328,4628.758569764369
268,-3.392,0.175,4594.643788560208,4175.276896931011,4985.627435544238,4636.8234899831305
269,-3.372,0.175,4595.188274481134,4174.416371551379,4984.983556656246,4640.7476328153
270,-3.3600000000000003,0.175,4595.68021387588,4173.562995120817,4984.318939669017,4639.858064363707
271,-3.468,0.175,4596.118692259793,4172.716569439735,4983.633077286152,4634.310196686345
272,-3.348,0.175,4596.502824814395,4171.876896811387,4982.925470901672,4624.991801228493
273,-3.3400000000000003,0.175,4596.831757120581,4171.0437804357525,4982.1956314027575,4613.316172665848
