,0
1896,2.4
1897,2.2
1898,2.4
1899,2.4
1900,2.4
1901,2.5
1902,2.4
1903,2.5
1904,2.5
1905,2.4
1906,2.5
1907,2.2
1908,2.4
1909,2.5
1910,2.4
1911,2.4
1912,2.2
1913,2.4
1914,2.5
1915,2.4
1916,2.5
1917,2.4
1918,2.5
1919,2.4
1920,2.5
1921,2.5
1922,2.4
1923,2.2
1924,2.4
1925,2.5
1926,2.5
1927,2.4
1928,2.5
1929,2.4
1930,2.4
1931,2.5
1932,2.4
1933,2.4
1934,2.4
1935,2.4
1936,2.5
1937,2.4
1938,2.4
1939,2.5
1940,2.4
1941,2.5
1942,2.4
1943,2.5
1944,2.5
1945,2.4
1946,2.5
1947,2.2
1948,2.4
1949,2.4
1950,2.4
1951,2.5
1952,2.4
1953,2.4
1954,2.4
1955,2.4
1956,2.5
1957,2.2
1958,2.4
1959,2.5
1960,2.4
1961,2.5
1962,2.4
1963,2.4
1964,2.4
1965,2.4
1966,2.5
1967,2.4
1968,2.5
1969,2.2
1970,2.4
1971,2.5
1972,2.4
1973,2.4
1974,2.4
1975,2.5
1976,2.5
1977,2.4
1978,2.4
1979,2.4
1980,2.5
1981,2.6
1982,2.4
1983,2.5
1984,2.4
1985,2.4
1986,2.5
1987,2.2
1988,2.4
1989,2.4
1990,2.4
1991,2.5
1992,2.4
1993,2.4
1994,2.4
1995,2.4
1996,2.5
1997,2.4
1998,2.4
1999,2.5
2000,2.4
2001,2.5
2002,2.2
2003,2.4
2004,2.5
2005,2.2
2006,2.5
2007,2.4
2008,2.4
2009,2.5
2010,2.4
2011,2.5
2012,2.2
2013,2.4
2014,2.4
2015,2.5
2016,2.5
2017,2.4
2018,2.5
2019,2.4
2020,2.4
2021,2.5
2022,2.4
2023,2.4
2024,2.5
2025,2.5
2026,2.2
2027,2.4
2028,2.4
2029,2.4
2030,2.4
2031,2.5
2032,2.4
2033,2.4
2034,2.4
2035,2.4
2036,2.4
2037,2.4
2038,2.4
2039,2.4
2040,2.4
2041,2.5
2042,2.4
2043,2.2
2044,2.4
2045,2.4
2046,2.5
2047,2.5
2048,2.4
2049,2.5
2050,2.4
2051,2.4
2052,2.2
2053,2.5
2054,2.5
2055,2.4
2056,2.4
2057,2.4
2058,2.4
2059,2.5
2060,2.4
2061,2.4
2062,2.4
2063,2.4
2064,2.4
2065,2.5
2066,2.4
2067,2.2
2068,2.4
2069,2.4
2070,2.4
2071,2.6
2072,2.4
2073,2.5
2074,2.4
2075,2.4
2076,2.5
2077,2.4
2078,2.4
2079,2.4
2080,2.5
2081,2.4
2082,2.4
2083,2.4
2084,2.5
2085,2.4
2086,2.5
2087,2.2
2088,2.4
2089,2.4
2090,2.5
2091,2.5
2092,2.4
2093,2.4
2094,2.4
2095,2.4
2096,2.5
2097,2.2
2098,2.5
2099,2.4
2100,2.4
2101,2.5
2102,2.2
2103,2.4
2104,2.5
2105,2.5
2106,2.4
2107,2.5
2108,2.4
2109,2.4
2110,2.4
2111,2.5
2112,2.4
2113,2.4
2114,2.4
2115,2.4
2116,2.5
2117,2.4
2118,2.4
2119,2.4
2120,2.4
2121,2.5
2122,2.4
2123,2.4
2124,2.5
2125,2.5
2126,2.4
2127,2.4
2128,2.5
2129,2.4
2130,2.4
2131,2.4
2132,2.4
2133,2.4
2134,2.4
2135,2.4
2136,2.5
2137,2.4
2138,2.2
2139,2.5
2140,2.5
